CNF with 3 variables and 8 clauses:
(-3, 4)
(-4, 1)
(4, -3)
(-1, 4)
(-3, -6)
(5, 1)
(-5, -4)
(3, 2)

CNF with 3 variables and 3 clauses:
(2, -4)
(-3, -5)
(-2, 5)

CNF with 3 variables and 5 clauses:
(6, -4)
(-5, -3)
(5, -2)
(2, 3)
(-3, -5)

CNF with 3 variables and 5 clauses:
(2, 4)
(5, -1)
(-2, -6)
(4, -5)
(-1, 6)

CNF with 3 variables and 7 clauses:
(4, -6)
(-1, -2)
(-6, -5)
(2, -3)
(1, 4)
(6, -3)
(-2, -4)

CNF with 3 variables and 7 clauses:
(-2, -5)
(6, -5)
(-4, -6)
(4, 6)
(4, -2)
(-4, 5)
(-6, 2)

CNF with 3 variables and 6 clauses:
(6, 2)
(-1, 4)
(5, -1)
(6, 4)
(-2, 6)
(3, -4)

CNF with 3 variables and 7 clauses:
(2, -1)
(-3, -2)
(6, 1)
(1, -5)
(-4, 3)
(3, -4)
(-5, -2)

CNF with 3 variables and 7 clauses:
(6, 5)
(-5, -6)
(-6, 4)
(6, -1)
(2, -4)
(-3, 2)
(2, 5)

CNF with 3 variables and 9 clauses:
(1, -4)
(-1, 6)
(2, 4)
(-5, 4)
(-6, -2)
(5, 3)
(-6, 4)
(-2, -3)
(4, -2)

CNF with 8 variables and 21 clauses:
(14, -1)
(11, -16)
(4, 6)
(3, 16)
(5, 16)
(-3, 12)
(16, -1)
(2, 8)
(6, 2)
(-1, 4)
(-10, 3)
(10, -13)
(1, -10)
(-5, 14)
(-7, -14)
(13, -11)
(7, -9)
(15, 13)
(4, -5)
(8, -5)
(8, 7)

CNF with 8 variables and 12 clauses:
(-12, 4)
(-7, -5)
(-3, -2)
(-7, 8)
(-11, -5)
(11, -10)
(-1, 7)
(14, -10)
(16, -15)
(16, 4)
(-10, 14)
(14, 11)

CNF with 8 variables and 18 clauses:
(11, 1)
(15, 5)
(-7, 11)
(13, 5)
(3, -1)
(-14, 7)
(6, 11)
(12, 8)
(6, 1)
(15, 1)
(16, -7)
(-1, 9)
(5, -10)
(-6, -16)
(8, -4)
(16, 4)
(-1, -8)
(-4, 8)

CNF with 8 variables and 24 clauses:
(12, 4)
(-10, 16)
(12, 16)
(7, -14)
(1, 6)
(10, 12)
(-16, 11)
(4, -13)
(-10, 3)
(-11, 1)
(-3, -13)
(-14, -4)
(3, 12)
(-6, 9)
(4, 11)
(13, 16)
(1, -8)
(4, 13)
(11, 3)
(1, -2)
(8, 13)
(-12, -11)
(-4, 5)
(-15, 8)

CNF with 8 variables and 21 clauses:
(3, -5)
(-11, 2)
(8, -12)
(-10, 16)
(14, 10)
(-8, -11)
(10, 3)
(-12, -15)
(7, -2)
(-13, -11)
(-13, 4)
(14, 9)
(7, 9)
(6, 10)
(-5, -2)
(-7, -15)
(5, 14)
(-15, 2)
(-10, -5)
(6, 3)
(-4, 14)

CNF with 8 variables and 10 clauses:
(-3, 14)
(3, 1)
(5, -9)
(6, 13)
(13, 9)
(13, 6)
(13, -4)
(9, -12)
(9, 1)
(5, 2)

CNF with 8 variables and 18 clauses:
(-6, -14)
(2, -1)
(4, -6)
(-14, -15)
(-2, 8)
(10, 8)
(-14, -9)
(14, -3)
(6, 4)
(-14, -16)
(11, -14)
(12, -4)
(16, 15)
(-6, 13)
(3, 6)
(-13, -14)
(-12, -15)
(-4, -8)

CNF with 8 variables and 19 clauses:
(-10, 1)
(4, 3)
(16, -11)
(-6, 13)
(-8, 1)
(-16, -7)
(16, 13)
(-6, 3)
(-8, -15)
(2, -11)
(-8, 3)
(7, -6)
(14, -4)
(4, 1)
(-5, 10)
(8, 7)
(12, -14)
(3, -8)
(-5, -12)

CNF with 8 variables and 8 clauses:
(-6, -5)
